step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
404,6.00E-05,1,,,,
405,0.02383,0.98925,,,,
406,0.02788,0.97619,,,,
407,0.0107,0.99541,,,,
408,0.10739,0.9799,,,,
409,0.05383,0.98394,,,,
410,0.05693,0.98592,0.10968,0.96364,,
411,0.01421,1,,,,
412,0.03583,0.99206,,,,
413,0.02093,0.99174,,,,
414,0.00157,1,,,,
415,0.03556,0.99556,,,,
416,0.05863,0.97688,,,,
417,0.04318,0.97877,,,,
418,0.04134,0.98248,,,,
419,0.02103,0.98907,,,,
420,4.00E-05,1,0.03096,0.99057,,
421,0.01187,0.99567,,,,
422,0.02184,0.99216,,,,
423,0.10694,0.9798,,,,
424,0.08338,0.96154,,,,
425,0.06236,0.98507,,,,
426,0.02455,0.98925,,,,
427,0.07849,0.9619,,,,
428,0.02247,0.98907,,,,
429,0.01033,0.99015,,,,
430,0.03707,0.98496,0.02505,0.99355,,
431,0.06744,0.98125,,,,
432,0.01763,0.99308,,,,
433,0.06463,0.9685,,,,
434,0.02502,0.9878,,,,
435,0.06613,0.97452,,,,
436,0.03269,0.98655,,,,
437,0.02032,1,,,,
438,0.0217,0.99138,,,,
439,0.02195,0.99338,,,,
440,0.04972,0.98172,0.02863,0.98953,,
441,0.06029,0.97309,,,,
442,0.00172,1,,,,
443,0.00948,0.99692,,,,
444,0.05254,0.97727,,,,
445,0.03912,0.98745,,,,
446,0.02904,0.98705,,,,
447,0.0472,0.97674,,,,
448,0.06056,0.97386,,,,
449,0.03252,0.98564,,,,
450,0.0348,0.98947,0.02178,0.99454,,
451,0.02783,0.99259,,,,
452,0.03174,0.99206,,,,
453,0.0241,0.99275,,,,
454,0.01423,0.99206,,,,
455,0.00729,1,,,,
456,0.00025,1,,,,
457,0.11436,0.97048,,,,
458,0.03169,0.9908,,,,
459,0.06913,0.98382,,,,
460,0.04484,0.97955,0.11965,0.97321,,
461,0.01261,0.99505,,,,
462,0.01838,0.99278,,,,
463,0.0091,0.99213,,,,
464,0.01592,0.99275,,,,
465,0.04012,0.98613,,,,
466,0.05442,0.97857,,,,
467,0.059,0.97419,,,,
468,0.04574,0.99038,,,,
469,0.03712,0.98028,,,,
470,0.04006,0.99291,0.02098,0.99614,,
471,0.04447,0.98106,,,,
472,0.0394,0.98615,,,,
473,0.04484,0.97834,,,,
474,0.07701,0.97674,,,,
475,9.00E-05,1,,,,
476,0.01,0.99614,,,,
477,0.02553,0.99104,,,,
478,0.02573,0.99306,,,,
479,0.03712,0.98261,,,,
480,0.02686,0.99248,0.01996,0.99667,,
481,0.05365,0.98131,,,,
482,0.01252,1,,,,
483,0.05496,0.96795,,,,
484,0.05701,0.97414,,,,
485,0.03501,0.98431,,,,
486,0.06165,0.97452,,,,
487,0.04218,0.98061,,,,
488,0.05234,0.98418,,,,
489,0.00049,1,,,,
490,0.00413,1,0.03389,0.9877,,
491,0.00018,1,,,,
492,0.04591,0.98644,,,,
493,0.03289,0.98691,,,,
494,0.01492,0.99604,,,,
495,0.04224,0.98726,,,,
496,0.10614,0.98319,,,,
497,0.07184,0.97314,,,,
498,0.03736,0.98376,,,,
499,0.01254,0.99691,,,,
500,0.00026,1,0.01946,0.98456,,
501,0.05701,0.98529,,,,
502,3.00E-05,1,,,,
503,0.02426,0.99234,,,,
504,0.03903,0.98513,,,,
505,0.02675,0.99048,,,,
506,0.0042,1,,,,
507,0.07113,0.97842,,,,
508,0.01441,0.99461,,,,
509,0.04515,0.98667,,,,
510,0.03655,0.9842,0.07686,0.98131,,
511,0.03106,0.985,,,,
512,0.05094,0.98039,,,,
513,0.0209,0.98734,,,,
514,0.07897,0.96939,,,,
515,0.03729,0.98125,,,,
516,0.02337,0.99786,,,,
517,0.03919,0.97619,,,,
518,0.02179,0.99336,,,,
519,0.03049,0.98864,,,,
520,0.05713,0.98925,0.03135,0.99187,,
521,3.00E-05,1,,,,
522,0.00925,1,,,,
523,0.07459,0.97647,,,,
524,0.01392,1,,,,
525,1.00E-05,1,,,,
526,0.02452,0.99333,,,,
527,0.0219,0.99194,,,,
528,0.00357,0.99767,,,,
529,0.01332,0.99138,,,,
530,0.06534,0.96454,0.03302,0.99105,,
531,0.0174,1,,,,
532,0.04371,0.98398,,,,
533,0.01526,0.99281,,,,
534,0.0509,0.98286,,,,
535,6.00E-05,1,,,,
536,0.06925,0.98315,,,,
537,0.01622,0.99257,,,,
538,0.03948,0.98421,,,,
539,0.04088,0.98261,,,,
540,0.02094,0.99315,0.04751,0.97122,,
541,0.01222,0.99234,,,,
542,0.03983,0.99482,,,,
543,0.00163,1,,,,
544,6.00E-05,1,,,,
545,0.02751,0.99213,,,,
546,0.02621,0.99038,,,,
547,0.01967,0.98742,,,,
548,0.00592,0.99609,,,,
549,0.00255,1,,,,
550,0.0289,0.98756,4.00E-05,1,,
551,0.01756,0.98944,,,,
552,0.06614,0.96951,,,,
553,7.00E-05,1,,,,
554,0.03275,0.98026,,,,
555,0.05379,0.9739,,,,
556,0.001,1,,,,
557,0.03226,0.98671,,,,
558,0.01785,0.99487,,,,
559,0.05348,0.98291,,,,
560,0.0461,0.99038,0.07913,0.97399,,
561,0.0682,0.97809,,,,
562,0.05008,0.97568,,,,
563,0.04012,0.98321,,,,
564,0.01652,0.98712,,,,
565,0.04119,0.98378,,,,
566,0.02791,0.98848,,,,
567,0.04633,0.98417,,,,
568,0.03928,0.98802,,,,
569,0.04728,0.97976,,,,
570,0.05044,0.98052,0.0495,0.97887,,
571,0.02686,0.9898,,,,
572,0.04529,0.98611,,,,
573,0.04477,0.97855,,,,
574,0.04315,0.98667,,,,
575,0.0383,0.98644,,,,
576,0.01349,0.99685,,,,
577,0.07941,0.97386,,,,
578,0.04068,0.99329,,,,
579,0.03868,0.9816,,,,
580,0.02832,0.98739,0.07138,0.97569,,
581,0.03174,0.98782,,,,
582,2.00E-05,1,,,,
583,0.08044,0.97442,,,,
584,0.07597,0.97802,,,,
585,0.01026,0.99645,,,,
586,0.03004,0.99415,,,,
587,6.00E-05,1,,,,
588,0.061,0.9741,,,,
589,0.0443,0.9881,,,,
